¹Û²âÈÕÆÚ,TP13,TP18,TP29
2019/1/9,3259.217857,5207.427278,
2019/1/10,3268.133115,5220.239254,
2019/1/11,3271.180362,5222.037884,
2019/1/12,3277.379218,5233.477949,
2019/1/13,3280.31609,5233.213349,
2019/1/14,3286.602732,5242.420785,
2019/1/15,3288.147881,5242.846618,
2019/1/16,3299.182702,5258.10698,
2019/1/17,3304.184415,5265.616556,
2019/1/18,3307.304995,5264.809206,
2019/1/19,3309.281809,5268.12781,
2019/1/20,3311.728653,5269.296314,
2019/1/21,3317.111579,5275.634825,
2019/1/22,3323.831071,5281.260877,
2019/1/23,3329.934306,5287.957157,
2019/1/24,3336.426301,5295.64406,
2019/1/25,3341.840083,5302.915925,
2019/1/26,3345.194754,5310.434357,
2019/1/27,3350.895024,5314.641629,
2019/1/28,3355.793964,5321.82883,
2019/1/29,3360.579298,5327.812217,
2019/1/30,3355.002958,5318.850984,
2019/1/31,3369.545302,5337.236777,
2019/2/1,3367.753474,5337.778779,
2019/2/2,3371.247272,5336.503585,
2019/2/3,3372.103731,5336.87307,
2019/2/4,3375.970062,5343.126361,
2019/2/5,3381.298965,5349.902755,
2019/2/6,3384.755555,5359.635018,
2019/2/7,3383.821352,5350.527706,
2019/2/8,3389.671609,5356.170302,
2019/2/9,3390.436807,5355.432522,
2019/2/10,3393.616686,5359.875134,
2019/2/11,3397.672957,5367.617516,
2019/2/12,3404.875594,5372.700552,
2019/2/13,3405.522602,5372.978613,
2019/2/14,3408.164097,5376.273335,
2019/2/15,3413.447625,5381.543224,
2019/2/16,3411.615343,5379.208749,
2019/2/17,3415.773647,5381.240352,
2019/2/18,3416.413118,5381.113138,
2019/2/19,3420.959826,5390.166766,
2019/2/20,3422.103005,5391.948332,
2019/2/21,3423.432415,5387.798059,
2019/2/22,3428.168196,5391.367391,
2019/2/23,3432.754745,5399.089395,
2019/2/24,3429.440224,5401.008405,
2019/2/25,3428.881265,5391.536195,
2019/2/26,3442.176185,5409.905619,
2019/2/27,3441.610502,5408.793523,
2019/2/28,3446.183016,5413.157116,
2019/3/1,3448.180219,5415.001982,
2019/3/2,3444.84166,5410.610541,
2019/3/3,3440.023981,5405.109607,
2019/3/4,3449.240667,5414.337906,
2019/3/5,3451.577069,5418.348831,
2019/3/6,3452.359944,5417.580143,
2019/3/7,3453.546393,5420.509952,
2019/3/8,3467.575998,5437.438288,
2019/3/9,3459.214578,5426.933242,
2019/3/10,3470.393589,5439.932053,
2019/3/11,3470.542947,5438.953261,
2019/3/12,3466.951936,5432.828039,
2019/3/13,3467.357262,5433.211471,
2019/3/14,3470.07261,5435.493302,
2019/3/15,3472.773078,5444.257503,
2019/3/16,3474.013916,5439.762139,
2019/3/17,3475.688889,5447.560083,
2019/3/18,3478.93005,5449.149159,
2019/3/19,3480.884629,5451.132857,
2019/3/20,3483.168982,5453.015332,
2019/3/21,3487.977461,5458.635119,
2019/3/22,3489.45776,5460.497028,
2019/3/23,3488.817325,5458.875779,
2019/3/24,3487.99545,5454.336156,
2019/3/25,3496.439553,5467.606922,
2019/3/26,3502.015274,5470.140833,
2019/3/27,3498.485281,5464.788357,
2019/3/28,3501.393937,5468.093193,
2019/3/29,3497.981251,5463.509306,
2019/3/30,3502.340455,5468.935634,
2019/3/31,3501.335261,5467.453979,
2019/4/1,3507.763706,5476.224373,
2019/4/2,3512.48928,5480.71888,
2019/4/3,3509.5639,5477.058979,
2019/4/4,3506.777534,5472.77735,
2019/4/5,3510.140473,5474.858818,
2019/4/6,3509.72173,5477.838904,
2019/4/7,3516.210291,5487.258988,
2019/4/8,3522.70724,5490.356427,
2019/4/9,3523.532128,5492.248907,
2019/4/10,3518.5265,5488.113758,
2019/4/11,3527.838389,5498.698179,
2019/4/12,3526.312975,5492.139293,
2019/4/13,3528.014905,5495.180316,
2019/4/14,3531.753028,5499.231203,
2019/4/15,3528.514536,5494.139061,
2019/4/16,3535.193627,5498.883058,
2019/4/17,3540.120259,5507.834621,
2019/4/18,3536.27616,5504.087155,
2019/4/19,3537.948076,5505.616555,
2019/4/20,3535.351735,5502.207891,
2019/4/21,3542.439477,5510.31094,
2019/4/22,3539.606003,5514.077675,
2019/4/23,3545.539431,5512.07253,
2019/4/24,3543.723553,5514.551227,
2019/4/25,3543.636058,5510.945686,
2019/4/26,3550.871872,5519.537892,
2019/4/27,3543.959996,5510.197062,
2019/4/28,3551.619688,5521.107652,
2019/4/29,3552.976254,5519.834756,
2019/4/30,3555.295705,5518.065092,
2019/5/1,3558.337995,5526.120195,
2019/5/2,3559.243021,5525.154026,
2019/5/3,3558.37467,5526.481342,
2019/5/4,3559.992419,5527.820462,
2019/5/5,3562.885832,5533.516609,
2019/5/6,3565.699708,5531.222171,
2019/5/7,3560.758718,5531.715424,
2019/5/8,3562.531687,5532.015649,
2019/5/9,3563.952431,5533.520262,
2019/5/10,3564.145144,5535.983747,
2019/5/11,3570.041166,5541.163012,
2019/5/12,3563.842607,5537.735804,
2019/5/13,3569.334871,5547.552938,
2019/5/14,3570.18702,5542.181154,
2019/5/15,3566.321728,5541.459181,
2019/5/16,3575.098501,5548.83567,
2019/5/17,3571.592594,5546.00386,
2019/5/18,3572.284684,5553.536435,
2019/5/19,3579.679127,5554.593174,
2019/5/20,3582.092146,5558.319071,
2019/5/21,3577.180634,5554.636417,
2019/5/22,3577.96975,5552.302223,
2019/5/23,3582.289239,5556.712306,
2019/5/24,3588.022657,5566.801888,
2019/5/25,3581.125863,5561.801134,
2019/5/26,3588.318296,5567.237887,
2019/5/27,3587.625111,5565.810156,
2019/5/28,3583.315862,5567.318846,
2019/5/29,3585.143318,5563.309674,
2019/5/30,3583.941923,5562.301714,
2019/5/31,3585.957055,5563.46436,
2019/6/1,3595.215896,5577.500064,
2019/6/2,3587.102154,5564.846754,
2019/6/3,3586.396839,5566.700141,
2019/6/4,3591.09721,5571.823703,
2019/6/5,3594.542594,5580.105808,
2019/6/6,3596.128319,5575.8852,
2019/6/7,3600.759656,5584.399193,
2019/6/8,3603.024145,5587.860025,
2019/6/9,3603.259741,5586.711227,
2019/6/10,3605.988734,5590.714901,
2019/6/11,3603.500523,5589.226131,
2019/6/12,3608.241774,5595.398157,
2019/6/13,3610.197265,5598.067877,
2019/6/14,3610.767539,5598.77874,
2019/6/15,3609.986391,5597.531725,
2019/6/16,3610.475117,5599.727972,
2019/6/17,3611.30958,5601.532342,
2019/6/18,3613.381913,5603.071887,
2019/6/19,3616.468655,5607.240743,
2019/6/20,3612.99908,5604.702455,
2019/6/21,3617.232456,5609.830989,
2019/6/22,3619.234002,5611.840206,
2019/6/23,3619.995692,5614.875216,
2019/6/24,3621.741175,5616.731907,
2019/6/25,3625.155828,5621.42607,
2019/6/26,3618.472422,5615.504769,
2019/6/27,3622.077057,5619.808162,
2019/6/28,3624.621423,5623.036335,
2019/6/29,3626.123271,5626.278779,
2019/6/30,3626.724679,5628.948302,
2019/7/1,3629.356154,5631.459564,
2019/7/2,3626.009617,5633.060324,
2019/7/3,3629.151015,5635.642875,
2019/7/4,3629.340616,5638.987056,
2019/7/5,3632.880584,5639.67357,
2019/7/6,3634.512768,5641.0136,
2019/7/7,3636.036127,5646.47486,
2019/7/8,3641.293873,5652.771788,
2019/7/9,3640.520674,5652.671192,
2019/7/10,3641.077526,5655.83131,
2019/7/11,3642.313453,5658.48469,
2019/7/12,3646.829338,5666.352023,
2019/7/13,3643.535252,5663.410759,
2019/7/14,3645.95986,5666.997048,
2019/7/15,3647.175725,5669.83471,
2019/7/16,3649.862499,5672.084044,
2019/7/17,3653.26985,5678.499109,
2019/7/18,3656.375799,5683.032247,
2019/7/19,3659.42993,5687.48282,
2019/7/20,3658.619917,5689.79954,
2019/7/21,3664.277221,5696.376628,
2019/7/22,3665.517749,5701.436161,
2019/7/23,3663.241511,5698.584991,
2019/7/24,3667.550605,5706.768776,
2019/7/25,3670.395351,5712.965334,
2019/7/26,3670.796423,5714.971498,
2019/7/27,3673.586587,5719.200742,
2019/7/28,3674.791985,5722.666719,
2019/7/29,3676.035966,5726.27278,
2019/7/30,3675.800454,5726.082058,
2019/7/31,3677.796664,5728.91754,
2019/8/1,3680.578752,5733.756373,
2019/8/2,3682.292968,5739.49122,
2019/8/3,3684.815763,5740.371222,
2019/8/4,3683.921483,5741.355486,
2019/8/5,3685.780887,5746.037447,
2019/8/6,3686.544568,5748.213161,
2019/8/7,3692.149715,5756.602426,
2019/8/8,3689.695258,5753.234414,
2019/8/9,3692.812989,5757.618047,
2019/8/10,3693.401555,5759.451011,
2019/8/11,3693.782416,5762.037995,
2019/8/12,3696.277937,5766.03508,
2019/8/13,3698.874572,5764.809754,
2019/8/14,3699.055594,5765.942259,
2019/8/15,3701.162077,5770.408472,
2019/8/16,3702.051552,5773.282877,
2019/8/17,3703.627684,5775.252168,
2019/8/18,3705.133438,5778.649133,
2019/8/19,3705.115292,5779.426444,
2019/8/20,3708.072692,5784.70496,
2019/8/21,3710.269754,5788.684917,
2019/8/22,3710.101671,5788.973735,
2019/8/23,3710.748402,5790.183849,
2019/8/24,3713.777756,5794.056801,
2019/8/25,3714.444031,5796.278429,
2019/8/26,3714.731519,5796.657182,
2019/8/27,3718.08879,5801.233154,
2019/8/28,3718.627239,5803.470284,
