,date,sum_xy
231,2017-10-30,9681.32996836134
232,2017-10-31,9749.232167134649
233,2017-11-01,9817.134365907958
234,2017-11-02,10016.04011822579
235,2017-11-03,10206.064737486371
236,2017-11-04,10478.22939607837
237,2017-11-05,10509.2211351067
238,2017-11-06,10538.878575741379
239,2017-11-07,10569.88663808007
240,2017-11-08,10599.46483195664
241,2017-11-09,10628.93922660691
242,2017-11-10,10650.483523459001
243,2017-11-11,10672.02782031108
244,2017-11-12,10693.57211716316
245,2017-11-13,10715.11641401525
246,2017-11-14,10736.660710867329
247,2017-11-15,10758.20500771942
248,2017-11-16,10779.7493045715
249,2017-11-17,10801.293601423578
250,2017-11-18,10822.83789827567
251,2017-11-19,10844.38219512775
252,2017-11-20,10865.92649197984
253,2017-11-21,10887.47078883192
254,2017-11-22,10909.015085684001
255,2017-11-23,10930.55938253609
256,2017-11-24,10952.10367938817
257,2017-11-25,10973.64797624025
258,2017-11-26,10995.192273092342
259,2017-11-27,11016.736569944422
260,2017-11-28,11038.28086679651
261,2017-11-29,11059.825163648591
262,2017-11-30,11081.369460500671
263,2017-12-01,11102.913757352759
264,2017-12-02,11105.96179683104
265,2017-12-03,11111.5138918144
266,2017-12-04,11130.900407890158
267,2017-12-05,11135.75869328729
268,2017-12-06,11138.891851757591
269,2017-12-07,11141.267968968501
270,2017-12-08,11144.731796331409
271,2017-12-09,11147.046748814719
272,2017-12-10,11147.72359919455
273,2017-12-11,11148.40044957438
274,2017-12-12,11149.07729995421
275,2017-12-13,11149.75415033403
276,2017-12-14,11150.43100071386
277,2017-12-15,11151.107851093691
278,2017-12-16,11151.78470147352
279,2017-12-17,11152.46155185334
280,2017-12-18,11153.138402233171
281,2017-12-19,11153.815252613
282,2017-12-20,11154.49210299283
283,2017-12-21,11155.16895337265
284,2017-12-22,11155.84580375248
285,2017-12-23,11156.52265413231
286,2017-12-24,11157.19950451214
287,2017-12-25,11157.87635489196
288,2017-12-26,11158.55320527179
289,2017-12-27,11159.23005565162
290,2017-12-28,11159.90690603145
291,2017-12-29,11160.58375641127
292,2017-12-30,11161.260606791102
293,2017-12-31,11161.93745717093
294,2018-01-01,11162.614307550759
295,2018-01-02,11163.36250070764
296,2018-01-03,11163.855972084719
297,2018-01-04,11164.8082036742
298,2018-01-05,11165.66909274951
299,2018-01-06,11166.807340964971
300,2018-01-07,11167.516139165371
301,2018-01-08,11168.224937365772
302,2018-01-09,11168.93373556617
303,2018-01-10,11169.90983443411
304,2018-01-11,11171.46902973939
305,2018-01-12,11173.127399119228
306,2018-01-13,11174.36753217661
307,2018-01-14,11174.716606667229
308,2018-01-15,11175.04480477813
309,2018-01-16,11176.57874415112
310,2018-01-17,11177.60790157348
311,2018-01-18,11179.361641862119
312,2018-01-19,11181.00353162699
313,2018-01-20,11182.16460871315
314,2018-01-21,11183.425073706709
315,2018-01-22,11184.13989536279
316,2018-01-23,11184.412840011479
317,2018-01-24,11184.685784660182
318,2018-01-25,11184.95872930887
319,2018-01-26,11185.231673957558
320,2018-01-27,11185.50461860625
321,2018-01-28,11185.777563254942
322,2018-01-29,11186.05050790364
323,2018-01-30,11186.32345255233
324,2018-01-31,11186.596397201021
325,2018-02-01,11186.86934184971
326,2018-02-02,11187.142286498402
327,2018-02-03,11187.415231147099
328,2018-02-04,11187.68817579579
329,2018-02-05,11187.96112044448
330,2018-02-06,11188.234065093171
331,2018-02-07,11188.507009741861
332,2018-02-08,11188.80320488446
333,2018-02-09,11189.09940002706
334,2018-02-10,11189.395595169659
335,2018-02-11,11189.691790312258
336,2018-02-12,11189.98798545487
337,2018-02-13,11190.284180597471
338,2018-02-14,11190.58037574007
339,2018-02-15,11190.87657088267
340,2018-02-16,11191.17276602527
341,2018-02-17,11191.468961167871
342,2018-02-18,11191.765156310472
343,2018-02-19,11192.06135145307
344,2018-02-20,11192.357546595671
345,2018-02-21,11192.653741738271
346,2018-02-22,11192.949936880868
347,2018-02-23,11193.246132023469
348,2018-02-24,11193.54232716607
349,2018-02-25,11193.83852230867
350,2018-02-26,11194.13471745127
351,2018-02-27,11194.430912593869
352,2018-02-28,11194.88803162925
353,2018-03-01,11195.34515066462
354,2018-03-02,11195.80226969999
355,2018-03-03,11196.25938873536
356,2018-03-04,11196.85185247265
357,2018-03-05,11197.444316209941
358,2018-03-06,11198.036779947219
359,2018-03-07,11198.629243684509
360,2018-03-08,11199.221707421799
361,2018-03-09,11202.57759806364
362,2018-03-10,11203.6826093758
363,2018-03-11,11204.93238535572
364,2018-03-12,11206.094057426491
365,2018-03-13,11207.86980966146
366,2018-03-14,11209.336715248059
367,2018-03-15,11211.598467002781
368,2018-03-16,11214.660695766279
369,2018-03-17,11216.178722445891
370,2018-03-18,11218.89764962403
371,2018-03-19,11222.957186789758
372,2018-03-20,11225.329427924222
373,2018-03-21,11225.88949220624
374,2018-03-22,11227.06696280036
375,2018-03-23,11228.416330800572
376,2018-03-24,11230.57592057643
377,2018-03-25,11233.13943086508
378,2018-03-26,11233.69931120944
379,2018-03-27,11235.76491136436
380,2018-03-28,11237.9315354665
381,2018-03-29,11239.93378669949
382,2018-03-30,11241.59416015146
383,2018-03-31,11242.938243854209
384,2018-04-01,11244.28232755696
385,2018-04-02,11248.27642482668
386,2018-04-03,11249.333690167081
387,2018-04-04,11249.912836089958
388,2018-04-05,11252.009200800601
389,2018-04-06,11253.83912593568
390,2018-04-07,11255.273474916929
391,2018-04-08,11257.32626643094
392,2018-04-09,11257.93005861373
393,2018-04-10,11259.15544671552
394,2018-04-11,11261.5235024581
395,2018-04-12,11262.24788561638
396,2018-04-13,11262.972268774658
397,2018-04-14,11263.69665193294
398,2018-04-15,11264.42103509122
399,2018-04-16,11265.1454182495
400,2018-04-17,11267.11890501156
401,2018-04-18,11268.814759073679
402,2018-04-19,11270.029027577759
403,2018-04-20,11271.889058760291
404,2018-04-21,11272.33314996714
405,2018-04-22,11274.96598209244
406,2018-04-23,11277.53886296803
407,2018-04-24,11278.315947262041
408,2018-04-25,11278.645534883171
409,2018-04-26,11279.96544472857
410,2018-04-27,11282.247061041631
411,2018-04-28,11284.262244407979
412,2018-04-29,11285.0879235224
413,2018-04-30,11286.58251410179
414,2018-05-01,11287.02290029594
415,2018-05-02,11287.2142246279
416,2018-05-03,11287.58685044558
417,2018-05-04,11288.54947290532
418,2018-05-05,11290.953465001821
419,2018-05-06,11292.0127633545
420,2018-05-07,11293.602783794619
421,2018-05-08,11294.577118952559
422,2018-05-09,11295.370156782681
423,2018-05-10,11297.1863707018
424,2018-05-11,11298.98836071287
425,2018-05-12,11299.78084099654
426,2018-05-13,11300.66203337054
427,2018-05-14,11301.97050155892
428,2018-05-15,11305.088804943769
429,2018-05-16,11306.87126896866
430,2018-05-17,11307.782874694829
431,2018-05-18,11308.02108678521
432,2018-05-19,11310.06502734207
433,2018-05-20,11310.6215316098
434,2018-05-21,11312.862143133469
435,2018-05-22,11313.96714720586
436,2018-05-23,11314.818668785148
437,2018-05-24,11315.54943892685
438,2018-05-25,11317.03324484408
439,2018-05-26,11318.073083773921
440,2018-05-27,11320.11070199135
441,2018-05-28,11320.983422450601
442,2018-05-29,11322.412241543421
443,2018-05-30,11324.11044353376
444,2018-05-31,11326.66052451286
445,2018-06-01,11327.12216181638
446,2018-06-02,11329.375395936491
447,2018-06-03,11332.19054708696
448,2018-06-04,11333.951988542129
449,2018-06-05,11334.77270530204
450,2018-06-06,11335.31304686069
451,2018-06-07,11337.829539856899
452,2018-06-08,11340.20939300363
453,2018-06-09,11342.160632865869
454,2018-06-10,11344.5240562304
455,2018-06-11,11346.22641518198
456,2018-06-12,11347.92178534805
457,2018-06-13,11352.03269497975
458,2018-06-14,11353.11096071694
459,2018-06-15,11353.62406207145
460,2018-06-16,11356.47106066646
461,2018-06-17,11360.71721327794
462,2018-06-18,11370.280294057691
463,2018-06-19,11396.435697361789
464,2018-06-20,11470.043559068272
465,2018-06-21,11633.0576574923
466,2018-06-22,11865.178817600548
467,2018-06-23,12113.32155726665
468,2018-06-24,12327.975073065949
469,2018-06-25,12529.31676821378
470,2018-06-26,12701.22597867674
471,2018-06-27,12881.107412098869
472,2018-06-28,13051.46956025685
473,2018-06-29,13223.46969168122
474,2018-06-30,13401.27922102371
475,2018-07-01,13593.26602770844
476,2018-07-02,13853.78585834759
477,2018-07-03,14114.30568898674
478,2018-07-04,14293.903261567768
479,2018-07-05,14584.95631814166
480,2018-07-06,14940.935153092558
481,2018-07-07,15145.234750040268
482,2018-07-08,15376.56618356586
483,2018-07-09,15597.87462082029
484,2018-07-10,15797.418317260439
485,2018-07-11,15989.19338271474
486,2018-07-12,16174.579777860119
487,2018-07-13,16366.763475066731
488,2018-07-14,16535.910200406
489,2018-07-15,16707.81268047246
490,2018-07-16,16878.50069308026
491,2018-07-17,17041.825594516016
492,2018-07-18,17241.17548740789
493,2018-07-19,17464.563943913592
494,2018-07-20,17692.542494080048
495,2018-07-21,17910.23914579982
496,2018-07-22,18100.84737972743
497,2018-07-23,18251.78972485629
498,2018-07-24,18401.348921176683
499,2018-07-25,18534.070418097857
500,2018-07-26,18644.13444950231
501,2018-07-27,18741.13157124311
502,2018-07-28,18863.256006277632
503,2018-07-29,18985.38044131215
504,2018-07-30,19107.50487634667
505,2018-07-31,19229.62931138118
506,2018-08-01,19351.7537464157
507,2018-08-02,19473.878181450218
